index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,Unknown,data analysis Python SQL Machine Learning data analysis statistics Python statistics Python Machine Learning,2.2,Company_0,"Chicago, IL","Chicago, IL",1000+ employees,-1,Private,Finance,Finance,$100M-$1B,None
1,Data Scientist,$126K-$156K (Glassdoor est.),statistics SQL SQL statistics data analysis data analysis data analysis Python data analysis Python,3.0,Company_1,"Chicago, IL","New York, NY",51-200 employees,1844,Non-profit,Other,Finance,$1M-$10M,-1
2,Data Analyst,-1,statistics Python Machine Learning Machine Learning statistics data analysis Python SQL SQL Python,4.5,Company_2,"San Francisco, CA",Other,201-500 employees,1988,Public,Finance,Other,$100M-$1B,-1
3,Senior Data Scientist,$66K-$295K (Glassdoor est.),data analysis statistics statistics Python statistics Python Machine Learning Python SQL SQL,3.8,Company_3,"New York, NY","New York, NY",201-500 employees,1997,Private,Biotech,Other,$100M-$1B,"Company A, Company B"
4,Senior Data Scientist,$147K-$292K (Glassdoor est.),data analysis data analysis data analysis Machine Learning Machine Learning statistics data analysis SQL Machine Learning data analysis,3.4,Company_4,"Washington, DC","New York, NY",1-50 employees,1924,Non-profit,Healthcare,Finance,$10M-$100M,"Company A, Company B"
5,Senior Data Scientist,$77K-$210K (Glassdoor est.),Python data analysis SQL SQL data analysis SQL statistics Machine Learning statistics Python,3.3,Company_5,"Chicago, IL","Chicago, IL",51-200 employees,1807,Other,Biotech,Finance,Unknown,"Company A, Company B"
6,Data Scientist,$68K-$151K (Glassdoor est.),data analysis Python statistics statistics statistics Python Machine Learning SQL statistics Python,1.4,Company_6,"New York, NY","San Francisco, CA",51-200 employees,1983,Public,Healthcare,Finance,Unknown,"Company A, Company B"
7,Data Scientist,$68K-$184K (Glassdoor est.),SQL data analysis Machine Learning SQL Machine Learning statistics Machine Learning statistics Machine Learning Python,2.4,Company_7,"Chicago, IL",Other,201-500 employees,2002,Non-profit,Other,Healthcare,$1M-$10M,"Company A, Company B"
8,Machine Learning Engineer,$72K-$179K (Glassdoor est.),Machine Learning data analysis Python Machine Learning Machine Learning Python Python data analysis data analysis SQL,3.5,Company_8,Other,"San Francisco, CA",1-50 employees,-1,Other,Other,Other,Unknown,None
9,Data Scientist,$53K-$184K (Glassdoor est.),Machine Learning SQL data analysis statistics SQL Python SQL Machine Learning Machine Learning data analysis,2.1,Company_9,"Washington, DC","New York, NY",1-50 employees,-1,Public,IT Services,Technology,$10M-$100M,Unknown
10,Data Scientist,Unknown,Machine Learning data analysis data analysis Python data analysis SQL SQL statistics statistics SQL,2.2,Company_10,"New York, NY","San Francisco, CA",1000+ employees,1817,Non-profit,Finance,Technology,$100M-$1B,-1
11,Data Scientist,$52K-$195K (Glassdoor est.),Machine Learning data analysis Python Python Python data analysis data analysis Python data analysis Python,2.3,Company_11,"Chicago, IL",Other,51-200 employees,2004,Public,Healthcare,Other,$100M-$1B,"Company A, Company B"
12,Senior Data Scientist,$66K-$258K (Glassdoor est.),statistics SQL Machine Learning data analysis data analysis Python Machine Learning statistics statistics Machine Learning,4.6,Company_12,"Washington, DC","New York, NY",1000+ employees,1989,Non-profit,Biotech,Technology,Unknown,-1
13,Senior Data Scientist,$145K-$167K (Glassdoor est.),data analysis Machine Learning data analysis statistics Python Machine Learning Machine Learning Python statistics statistics,2.4,Company_13,Other,Other,201-500 employees,1997,Other,Biotech,Other,Unknown,None
14,Data Scientist,$149K-$243K (Glassdoor est.),Machine Learning Machine Learning statistics Python Machine Learning data analysis Python SQL data analysis statistics,4.3,Company_14,"San Francisco, CA","San Francisco, CA",201-500 employees,-1,Private,Other,Technology,$100M-$1B,None
15,Senior Data Scientist,$63K-$266K (Glassdoor est.),Machine Learning SQL statistics statistics data analysis SQL statistics statistics Machine Learning Python,2.6,Company_15,"New York, NY","New York, NY",51-200 employees,1841,Other,Healthcare,Other,Unknown,Unknown
16,Machine Learning Engineer,$128K-$162K (Glassdoor est.),Machine Learning data analysis data analysis SQL data analysis statistics data analysis statistics data analysis SQL,2.7,Company_16,Other,"New York, NY",1000+ employees,1969,Other,Finance,Other,$10M-$100M,-1
17,Senior Data Scientist,$134K-$284K (Glassdoor est.),data analysis SQL SQL data analysis statistics data analysis statistics Machine Learning data analysis SQL,4.1,Company_17,"San Francisco, CA",Other,51-200 employees,1874,Public,IT Services,Business Services,$1M-$10M,Unknown
18,Machine Learning Engineer,$132K-$158K (Glassdoor est.),Python SQL Machine Learning Machine Learning data analysis Machine Learning data analysis statistics SQL statistics,1.6,Company_18,"New York, NY","New York, NY",201-500 employees,-1,Public,IT Services,Finance,$100M-$1B,-1
19,Data Analyst,-1,statistics Machine Learning Python Python data analysis Python data analysis Python SQL SQL,2.2,Company_19,Other,"San Francisco, CA",1-50 employees,1912,Non-profit,IT Services,Finance,$100M-$1B,"Company A, Company B"
